2000,10859660,263560,173488,232,786467,2,3
2001,10851796,389814,229448,221,766373,2,3
2002,6270815,155782,131377,217,770093,2,3
2003,10542491,507499,267001,230,836515,2,3
2004,9868709,339681,332654,216,803720,2,3
2005,16956421,1214132,977583,204,784135,2,3
2006,12945327,336069,154340,207,816960,2,3
2007,11494087,437438,259345,209,842116,2,3
2008,16376991,1147614,544239,190,776822,2,3
2009,14625000,400316,219753,193,793796,2,3
2010,12594000,1068518,619617,190,801375,2,3
2011,20201000,197064,200977,197,843267,2,3
2012,7962000,194646,150734,193,836156,2,3
2013,9495948,396125,236009,196,860377,2,3
2014,14344484,312379,172118,191,854728,2,3
2015,14382587,464162,236715,189,857801,2,3
2016,11164062,815752,519709,186,858293,18,18
2017,9931656,205603,205575,183,860802,27,27
2018,20116676,367424,312032,181,864258,38,38
2019,17225136,1345049,536362,178,867973,50,50
2020,13731401,269540,184429,176,871770,62,62
2021,15369422,391268,294569,174,875594,73,73
2022,14140528,286973,214774,171,879397,82,82
2023,11095455,208707,131986,169,883146,88,88
2024,16439486,491736,403922,167,886803,92,92
2025,15139293,839294,419094,164,890318,95,95
2026,16933580,567890,276583,162,893656,97,97
2027,13140416,737327,294287,160,896789,98,98
2028,12505894,212370,163676,158,899678,99,99
2029,20805422,766850,317865,156,902293,99,99
2030,11165419,446033,183449,154,904598,100,100
2031,8496102,292498,239518,152,906566,100,100
2032,9413908,1406151,941903,150,908170,100,100
2033,11426874,756757,473500,148,909383,100,100
2034,21500963,383825,212152,146,910179,100,100
2035,15862511,1006592,437625,144,910530,100,100
2036,9598169,617901,453211,142,910422,100,100
2037,11524160,348046,281403,140,909902,100,100
2038,10010259,482049,237612,138,909011,100,100
2039,17377609,750696,518684,136,907793,100,100
2040,8840900,1712235,876440,134,906333,100,100
2041,10863586,270734,174553,132,904793,100,100
2042,19875027,621086,259593,131,903180,100,100
2043,10679844,396125,236009,129,901496,100,100
2044,11670830,312379,172118,127,899753,100,100
2045,13739932,464162,236715,125,897948,100,100
2046,11164062,815752,519709,123,896080,100,100
2047,9931656,205603,205575,122,894161,100,100
2048,20116676,367424,312032,120,892191,100,100
2049,17225136,1345049,536362,119,890172,100,100
2050,13731401,269540,184429,117,888110,100,100
2051,15369422,391268,294569,116,886003,100,100
2052,14140528,286973,214774,114,883858,100,100
2053,11095455,208707,131986,113,881676,100,100
2054,16439486,491736,403922,111,879457,100,100
2055,15139293,839294,419094,110,877212,100,100
2056,16933580,567890,276583,108,874932,100,100
2057,13140416,737327,294287,107,872627,100,100
2058,12505894,212370,163676,105,870294,100,100
2059,20805422,766850,317865,104,867941,100,100
2060,11165419,446033,183449,103,865563,100,100
