0.00	23.99	0.00	0.00	0.00	13.60	3.72	3.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.12	15.58	4.36	0.00	25.89	0.00	0.00	0.00	1.28	19.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.03	0.04	0.05	0.57	0.04	0.05	0.01	0.03	0.57	0.18	0.02	0.01	0.09	0.45	0.35	0.24	0.12	0.45	0.50	1.78	1.05	0.06	0.00	0.73	0.17	0.06	0.18	0.03	0.00	0.55	0.18	1.32	0.39	0.46	0.00	0.00
0.00	0.84	0.02	1.63	0.00	0.55	0.25	0.79	0.06	0.00	0.00	1.25	0.02	0.02	0.27	0.53	0.98	0.17	0.78	0.38	0.68	0.00	0.00	2.57	7.79	0.00	0.50	0.73	0.75	0.00	0.10	0.23	0.00	0.05	5.64	0.12
5.44	1.37	12.55	3.31	22.61	0.07	4.49	5.49	8.76	7.49	0.00	5.13	7.25	12.67	10.80	2.28	10.03	8.40	3.41	5.05	5.67	14.43	1.05	0.23	0.00	9.24	5.35	2.21	3.53	16.27	30.48	13.60	5.94	11.87	0.00	4.13
81.33	39.23	37.31	74.59	1.37	84.81	46.18	33.51	30.75	47.82	99.92	57.46	52.77	24.95	32.62	83.68	30.68	37.59	49.48	54.53	41.89	12.43	39.09	76.55	91.95	12.39	63.40	69.95	42.00	14.82	13.19	9.69	35.37	38.91	92.86	66.90
2.07	0.48	11.97	3.59	2.04	0.28	1.92	1.42	8.80	9.20	0.06	1.13	5.72	8.89	8.05	1.20	5.60	11.80	4.00	3.50	8.59	6.33	0.76	0.14	0.08	5.60	3.45	1.23	0.66	9.76	8.44	21.22	18.33	3.67	1.50	1.14
0.00	0.22	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.16	0.07	0.14	0.09	0.08	0.00	0.00	0.00	0.00	0.17	0.09	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00
0.17	0.00	0.00	1.37	0.09	0.00	0.00	0.00	4.55	0.00	0.00	0.00	0.02	5.63	13.23	0.01	0.00	9.35	4.21	4.75	12.09	2.07	0.03	0.00	0.00	0.00	1.14	0.23	0.00	24.05	0.00	33.33	4.56	0.00	0.00	0.00
10.96	11.12	37.85	13.23	73.85	0.37	5.49	4.90	34.79	35.31	0.00	35.02	34.13	40.92	29.35	5.87	52.60	29.40	11.70	13.46	21.89	64.60	2.91	19.78	0.00	72.71	16.44	5.27	53.06	34.54	47.61	20.56	35.41	45.03	0.00	20.61
0.00	22.72	0.24	1.71	0.00	0.23	37.95	50.79	11.72	0.00	0.00	0.00	0.00	6.46	5.33	6.20	0.00	2.68	4.72	0.84	3.68	0.00	30.28	0.00	0.00	0.00	8.09	0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.10
